"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FIN","HEALTHEXP","TOT","PC_GDP","A","2009",9.161,
"FIN","HEALTHEXP","TOT","PC_GDP","A","2010",9.142,
"FIN","HEALTHEXP","TOT","PC_GDP","A","2011",9.223,
"FIN","HEALTHEXP","TOT","PC_GDP","A","2012",9.586,
"FIN","HEALTHEXP","TOT","PC_GDP","A","2013",9.805,
"FIN","HEALTHEXP","TOT","PC_GDP","A","2014",9.781,
"FIN","HEALTHEXP","TOT","PC_GDP","A","2015",9.645,"B"
"FIN","HEALTHEXP","TOT","PC_GDP","A","2016",9.378,
"FIN","HEALTHEXP","TOT","PC_GDP","A","2017",9.127,
"FIN","HEALTHEXP","TOT","PC_GDP","A","2018",9.042,
"FIN","HEALTHEXP","TOT","PC_GDP","A","2019",9.172,
"FIN","HEALTHEXP","TOT","PC_GDP","A","2020",9.613,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2005",10.215,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2006",10.386,"B"
"FRA","HEALTHEXP","TOT","PC_GDP","A","2007",10.316,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2008",10.501,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2009",11.288,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2010",11.226,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2011",11.185,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2012",11.297,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2013",11.405,"B"
"FRA","HEALTHEXP","TOT","PC_GDP","A","2014",11.534,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2015",11.441,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2016",11.485,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2017",11.358,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2018",11.213,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2019",11.098,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2020",12.205,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2021",12.393,"P"
"DEU","HEALTHEXP","TOT","PC_GDP","A","2005",10.312,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2006",10.18,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2007",10.051,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2008",10.251,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2009",11.238,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2010",11.096,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2011",10.778,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2012",10.853,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2013",10.998,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2014",11.022,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2015",11.184,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2016",11.233,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2017",11.324,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2018",11.457,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2019",11.696,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2020",12.822,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2021",12.805,"P"
"GRC","HEALTHEXP","TOT","PC_GDP","A","2005",8.565,
"GRC","HEALTHEXP","TOT","PC_GDP","A","2006",8.259,
"GRC","HEALTHEXP","TOT","PC_GDP","A","2007",8.398,
"GRC","HEALTHEXP","TOT","PC_GDP","A","2008",8.828,
"GRC","HEALTHEXP","TOT","PC_GDP","A","2009",9.407,
"GRC","HEALTHEXP","TOT","PC_GDP","A","2010",9.597,
"GRC","HEALTHEXP","TOT","PC_GDP","A","2011",9.193,
"GRC","HEALTHEXP","TOT","PC_GDP","A","2012",8.924,
"GRC","HEALTHEXP","TOT","PC_GDP","A","2013",8.438,
"GRC","HEALTHEXP","TOT","PC_GDP","A","2014",7.891,
"GRC","HEALTHEXP","TOT","PC_GDP","A","2015",8.22,
"GRC","HEALTHEXP","TOT","PC_GDP","A","2016",8.449,
"GRC","HEALTHEXP","TOT","PC_GDP","A","2017",8.135,
"GRC","HEALTHEXP","TOT","PC_GDP","A","2018",8.12,
"GRC","HEALTHEXP","TOT","PC_GDP","A","2019",8.203,
"GRC","HEALTHEXP","TOT","PC_GDP","A","2020",9.508,
"HUN","HEALTHEXP","TOT","PC_GDP","A","2005",7.983,
"HUN","HEALTHEXP","TOT","PC_GDP","A","2006",7.776,
"HUN","HEALTHEXP","TOT","PC_GDP","A","2007",7.202,
"HUN","HEALTHEXP","TOT","PC_GDP","A","2008",7.086,
"HUN","HEALTHEXP","TOT","PC_GDP","A","2009",7.22,
"HUN","HEALTHEXP","TOT","PC_GDP","A","2010",7.445,
"HUN","HEALTHEXP","TOT","PC_GDP","A","2011",7.478,
"HUN","HEALTHEXP","TOT","PC_GDP","A","2012",7.408,
"HUN","HEALTHEXP","TOT","PC_GDP","A","2013",7.232,
"HUN","HEALTHEXP","TOT","PC_GDP","A","2014",7.044,
"HUN","HEALTHEXP","TOT","PC_GDP","A","2015",6.852,
"HUN","HEALTHEXP","TOT","PC_GDP","A","2016",6.986,
"HUN","HEALTHEXP","TOT","PC_GDP","A","2017",6.738,
"HUN","HEALTHEXP","TOT","PC_GDP","A","2018",6.575,
"HUN","HEALTHEXP","TOT","PC_GDP","A","2019",6.297,
"HUN","HEALTHEXP","TOT","PC_GDP","A","2020",7.25,
"ISL","HEALTHEXP","TOT","PC_GDP","A","2005",8.947,
"ISL","HEALTHEXP","TOT","PC_GDP","A","2006",8.557,
"ISL","HEALTHEXP","TOT","PC_GDP","A","2007",8.354,
"ISL","HEALTHEXP","TOT","PC_GDP","A","2008",8.344,
"ISL","HEALTHEXP","TOT","PC_GDP","A","2009",8.775,
"ISL","HEALTHEXP","TOT","PC_GDP","A","2010",8.362,
"ISL","HEALTHEXP","TOT","PC_GDP","A","2011",8.203,
"ISL","HEALTHEXP","TOT","PC_GDP","A","2012",8.181,
"ISL","HEALTHEXP","TOT","PC_GDP","A","2013",8.176,
"ISL","HEALTHEXP","TOT","PC_GDP","A","2014",8.229,
"ISL","HEALTHEXP","TOT","PC_GDP","A","2015",8.07,
"ISL","HEALTHEXP","TOT","PC_GDP","A","2016",8.097,
"ISL","HEALTHEXP","TOT","PC_GDP","A","2017",8.261,
"ISL","HEALTHEXP","TOT","PC_GDP","A","2018",8.376,
"ISL","HEALTHEXP","TOT","PC_GDP","A","2019",8.513,
"ISL","HEALTHEXP","TOT","PC_GDP","A","2020",9.517,
"ISL","HEALTHEXP","TOT","PC_GDP","A","2021",9.653,"P"
"IRL","HEALTHEXP","TOT","PC_GDP","A","2005",7.642,
"IRL","HEALTHEXP","TOT","PC_GDP","A","2006",7.516,
"IRL","HEALTHEXP","TOT","PC_GDP","A","2007",7.808,
"IRL","HEALTHEXP","TOT","PC_GDP","A","2008",9.126,
"IRL","HEALTHEXP","TOT","PC_GDP","A","2009",10.523,
"IRL","HEALTHEXP","TOT","PC_GDP","A","2010",10.526,
"IRL","HEALTHEXP","TOT","PC_GDP","A","2011",10.631,"B"
"IRL","HEALTHEXP","TOT","PC_GDP","A","2012",10.628,
"IRL","HEALTHEXP","TOT","PC_GDP","A","2013",10.309,
"IRL","HEALTHEXP","TOT","PC_GDP","A","2014",9.545,
"IRL","HEALTHEXP","TOT","PC_GDP","A","2015",7.318,
"IRL","HEALTHEXP","TOT","PC_GDP","A","2016",7.446,
"IRL","HEALTHEXP","TOT","PC_GDP","A","2017",7.146,
"IRL","HEALTHEXP","TOT","PC_GDP","A","2018",6.88,
"IRL","HEALTHEXP","TOT","PC_GDP","A","2019",6.673,
"IRL","HEALTHEXP","TOT","PC_GDP","A","2020",7.101,
"IRL","HEALTHEXP","TOT","PC_GDP","A","2021",6.728,"P"
"ITA","HEALTHEXP","TOT","PC_GDP","A","2005",8.339,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2006",8.437,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2007",8.136,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2008",8.533,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2009",8.952,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2010",8.916,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2011",8.774,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2012",8.784,"B"
"ITA","HEALTHEXP","TOT","PC_GDP","A","2013",8.775,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2014",8.868,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2015",8.857,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2016",8.725,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2017",8.678,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2018",8.682,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2019",8.656,"B"
"ITA","HEALTHEXP","TOT","PC_GDP","A","2020",9.634,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2021",9.454,"P"
"JPN","HEALTHEXP","TOT","PC_GDP","A","2005",7.658,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2006",7.687,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2007",7.779,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2008",8.089,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2009",8.959,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2010",9.063,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2011",10.488,"B"
"JPN","HEALTHEXP","TOT","PC_GDP","A","2012",10.672,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2013",10.674,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2014",10.729,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2015",10.75,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2016",10.659,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2017",10.656,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2018",10.746,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2019",10.959,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2020",11.134,"P"
"KOR","HEALTHEXP","TOT","PC_GDP","A","2005",4.617,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2006",4.944,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2007",5.115,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2008",5.399,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2009",5.782,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2010",5.917,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2011",6.008,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2012",6.133,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2013",6.249,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2014",6.479,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2015",6.658,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2016",6.92,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2017",7.086,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2018",7.52,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2019",8.141,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2020",8.364,
"KOR","HEALTHEXP","TOT","PC_GDP","A","2021",8.778,"P"
"LUX","HEALTHEXP","TOT","PC_GDP","A","2005",7.125,
"LUX","HEALTHEXP","TOT","PC_GDP","A","2006",6.638,
"LUX","HEALTHEXP","TOT","PC_GDP","A","2007",6.158,
"LUX","HEALTHEXP","TOT","PC_GDP","A","2008",6.231,
"LUX","HEALTHEXP","TOT","PC_GDP","A","2009",6.95,
"LUX","HEALTHEXP","TOT","PC_GDP","A","2010",6.662,
"LUX","HEALTHEXP","TOT","PC_GDP","A","2011",5.952,"B"
"LUX","HEALTHEXP","TOT","PC_GDP","A","2012",5.294,"B"
"LUX","HEALTHEXP","TOT","PC_GDP","A","2013",5.236,
"LUX","HEALTHEXP","TOT","PC_GDP","A","2014",5.23,
"LUX","HEALTHEXP","TOT","PC_GDP","A","2015",5.081,
"LUX","HEALTHEXP","TOT","PC_GDP","A","2016",5.071,
"LUX","HEALTHEXP","TOT","PC_GDP","A","2017",5.135,
"LUX","HEALTHEXP","TOT","PC_GDP","A","2018",5.259,
"LUX","HEALTHEXP","TOT","PC_GDP","A","2019",5.441,
"LUX","HEALTHEXP","TOT","PC_GDP","A","2020",5.767,
"MEX","HEALTHEXP","TOT","PC_GDP","A","2005",5.836,
"MEX","HEALTHEXP","TOT","PC_GDP","A","2006",5.655,
"MEX","HEALTHEXP","TOT","PC_GDP","A","2007",5.766,
"MEX","HEALTHEXP","TOT","PC_GDP","A","2008",5.699,"B"
"MEX","HEALTHEXP","TOT","PC_GDP","A","2009",6.13,
"MEX","HEALTHEXP","TOT","PC_GDP","A","2010",5.737,
"MEX","HEALTHEXP","TOT","PC_GDP","A","2011",5.519,
"MEX","HEALTHEXP","TOT","PC_GDP","A","2012",5.665,
"MEX","HEALTHEXP","TOT","PC_GDP","A","2013",5.809,
"MEX","HEALTHEXP","TOT","PC_GDP","A","2014",5.553,
"MEX","HEALTHEXP","TOT","PC_GDP","A","2015",5.723,
"MEX","HEALTHEXP","TOT","PC_GDP","A","2016",5.553,
"MEX","HEALTHEXP","TOT","PC_GDP","A","2017",5.458,
"MEX","HEALTHEXP","TOT","PC_GDP","A","2018",5.383,
"MEX","HEALTHEXP","TOT","PC_GDP","A","2019",5.446,
"MEX","HEALTHEXP","TOT","PC_GDP","A","2020",6.242,
"NLD","HEALTHEXP","TOT","PC_GDP","A","2005",9.097,
"NLD","HEALTHEXP","TOT","PC_GDP","A","2006",9.081,
"NLD","HEALTHEXP","TOT","PC_GDP","A","2007",9.053,
"NLD","HEALTHEXP","TOT","PC_GDP","A","2008",9.277,
"NLD","HEALTHEXP","TOT","PC_GDP","A","2009",9.993,
"NLD","HEALTHEXP","TOT","PC_GDP","A","2010",10.155,
"NLD","HEALTHEXP","TOT","PC_GDP","A","2011",10.234,
"NLD","HEALTHEXP","TOT","PC_GDP","A","2012",10.539,
"NLD","HEALTHEXP","TOT","PC_GDP","A","2013",10.584,
"NLD","HEALTHEXP","TOT","PC_GDP","A","2014",10.567,
"NLD","HEALTHEXP","TOT","PC_GDP","A","2015",10.324,
"NLD","HEALTHEXP","TOT","PC_GDP","A","2016",10.294,
"NLD","HEALTHEXP","TOT","PC_GDP","A","2017",10.108,
"NLD","HEALTHEXP","TOT","PC_GDP","A","2018",10.02,
"NLD","HEALTHEXP","TOT","PC_GDP","A","2019",10.14,
"NLD","HEALTHEXP","TOT","PC_GDP","A","2020",11.136,
"NLD","HEALTHEXP","TOT","PC_GDP","A","2021",11.211,"P"
"NZL","HEALTHEXP","TOT","PC_GDP","A","2005",8.273,
"NZL","HEALTHEXP","TOT","PC_GDP","A","2006",8.638,
"NZL","HEALTHEXP","TOT","PC_GDP","A","2007",8.329,
"NZL","HEALTHEXP","TOT","PC_GDP","A","2008",9.124,
"NZL","HEALTHEXP","TOT","PC_GDP","A","2009",9.621,"P"
"NZL","HEALTHEXP","TOT","PC_GDP","A","2010",9.593,"P"
"NZL","HEALTHEXP","TOT","PC_GDP","A","2011",9.52,"P"
"NZL","HEALTHEXP","TOT","PC_GDP","A","2012",9.652,"P"
"NZL","HEALTHEXP","TOT","PC_GDP","A","2013",9.36,"P"
"NZL","HEALTHEXP","TOT","PC_GDP","A","2014",9.402,"P"
"NZL","HEALTHEXP","TOT","PC_GDP","A","2015",9.283,"P"
"NZL","HEALTHEXP","TOT","PC_GDP","A","2016",9.244,"P"
"NZL","HEALTHEXP","TOT","PC_GDP","A","2017",8.967,"P"
"NZL","HEALTHEXP","TOT","PC_GDP","A","2018",9.035,"P"
"NZL","HEALTHEXP","TOT","PC_GDP","A","2019",9.049,"E"
"NZL","HEALTHEXP","TOT","PC_GDP","A","2020",9.719,"E"
"NOR","HEALTHEXP","TOT","PC_GDP","A","2005",8.328,
"NOR","HEALTHEXP","TOT","PC_GDP","A","2006",7.913,
"NOR","HEALTHEXP","TOT","PC_GDP","A","2007",8.051,
"NOR","HEALTHEXP","TOT","PC_GDP","A","2008",7.961,
"NOR","HEALTHEXP","TOT","PC_GDP","A","2009",9.074,
"NOR","HEALTHEXP","TOT","PC_GDP","A","2010",8.906,
"NOR","HEALTHEXP","TOT","PC_GDP","A","2011",8.789,
"NOR","HEALTHEXP","TOT","PC_GDP","A","2012",8.778,
"NOR","HEALTHEXP","TOT","PC_GDP","A","2013",8.93,
"NOR","HEALTHEXP","TOT","PC_GDP","A","2014",9.345,
"NOR","HEALTHEXP","TOT","PC_GDP","A","2015",10.131,
"NOR","HEALTHEXP","TOT","PC_GDP","A","2016",10.591,
"NOR","HEALTHEXP","TOT","PC_GDP","A","2017",10.316,
"NOR","HEALTHEXP","TOT","PC_GDP","A","2018",10.024,
"NOR","HEALTHEXP","TOT","PC_GDP","A","2019",10.536,
"NOR","HEALTHEXP","TOT","PC_GDP","A","2020",11.418,
"NOR","HEALTHEXP","TOT","PC_GDP","A","2021",10.081,"P"
"POL","HEALTHEXP","TOT","PC_GDP","A","2005",5.807,
"POL","HEALTHEXP","TOT","PC_GDP","A","2006",5.803,
"POL","HEALTHEXP","TOT","PC_GDP","A","2007",5.873,
"POL","HEALTHEXP","TOT","PC_GDP","A","2008",6.376,
"POL","HEALTHEXP","TOT","PC_GDP","A","2009",6.588,
"POL","HEALTHEXP","TOT","PC_GDP","A","2010",6.412,"B"
"POL","HEALTHEXP","TOT","PC_GDP","A","2011",6.24,
"POL","HEALTHEXP","TOT","PC_GDP","A","2012",6.224,
"POL","HEALTHEXP","TOT","PC_GDP","A","2013",6.415,
"POL","HEALTHEXP","TOT","PC_GDP","A","2014",6.28,
"POL","HEALTHEXP","TOT","PC_GDP","A","2015",6.395,
"POL","HEALTHEXP","TOT","PC_GDP","A","2016",6.535,
"POL","HEALTHEXP","TOT","PC_GDP","A","2017",6.56,
"POL","HEALTHEXP","TOT","PC_GDP","A","2018",6.328,
"POL","HEALTHEXP","TOT","PC_GDP","A","2019",6.447,
"POL","HEALTHEXP","TOT","PC_GDP","A","2020",6.493,
"POL","HEALTHEXP","TOT","PC_GDP","A","2021",6.593,"P"
"PRT","HEALTHEXP","TOT","PC_GDP","A","2005",9.653,
"PRT","HEALTHEXP","TOT","PC_GDP","A","2006",9.354,
"PRT","HEALTHEXP","TOT","PC_GDP","A","2007",9.252,
"PRT","HEALTHEXP","TOT","PC_GDP","A","2008",9.583,
"PRT","HEALTHEXP","TOT","PC_GDP","A","2009",10.131,
"PRT","HEALTHEXP","TOT","PC_GDP","A","2010",10.033,
"PRT","HEALTHEXP","TOT","PC_GDP","A","2011",9.731,
"PRT","HEALTHEXP","TOT","PC_GDP","A","2012",9.654,
"PRT","HEALTHEXP","TOT","PC_GDP","A","2013",9.405,
"PRT","HEALTHEXP","TOT","PC_GDP","A","2014",9.343,
"PRT","HEALTHEXP","TOT","PC_GDP","A","2015",9.316,
"PRT","HEALTHEXP","TOT","PC_GDP","A","2016",9.394,
"PRT","HEALTHEXP","TOT","PC_GDP","A","2017",9.306,
"PRT","HEALTHEXP","TOT","PC_GDP","A","2018",9.413,
"PRT","HEALTHEXP","TOT","PC_GDP","A","2019",9.514,
"PRT","HEALTHEXP","TOT","PC_GDP","A","2020",10.549,
"PRT","HEALTHEXP","TOT","PC_GDP","A","2021",11.211,"P"
"SVK","HEALTHEXP","TOT","PC_GDP","A","2005",6.589,"B"
"SVK","HEALTHEXP","TOT","PC_GDP","A","2006",6.851,
"SVK","HEALTHEXP","TOT","PC_GDP","A","2007",7.177,
"SVK","HEALTHEXP","TOT","PC_GDP","A","2008",6.956,"B"
"SVK","HEALTHEXP","TOT","PC_GDP","A","2009",7.948,
"SVK","HEALTHEXP","TOT","PC_GDP","A","2010",7.697,
"SVK","HEALTHEXP","TOT","PC_GDP","A","2011",7.33,
"SVK","HEALTHEXP","TOT","PC_GDP","A","2012",7.565,"B"
"SVK","HEALTHEXP","TOT","PC_GDP","A","2013",7.523,
"SVK","HEALTHEXP","TOT","PC_GDP","A","2014",6.908,
"SVK","HEALTHEXP","TOT","PC_GDP","A","2015",6.782,
"SVK","HEALTHEXP","TOT","PC_GDP","A","2016",6.994,
