,CRASH DATE,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,hour,injury,land_area_in_sqmi,water_area_in_sqmi,housing_units,occupied_housing_units,median_home_value,population,median_household_income,county,population_density
20,01/19/2023,BROOKLYN,11239,40.6476,-73.881485,PENNSYLVANIA AVENUE,,,0,0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,Unspecified,Unspecified,Unspecified,Unspecified,4599972,Pick-up Truck,Sedan,Unspecified,Unspecified,Unspecified,7,0,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
21,01/19/2023,BROOKLYN,11239,40.645344,-73.87897,PENNSYLVANIA AVENUE,HORNELL LOOP,,1,0,0,0,0,0,1,0,UNSPECIFIED,Unspecified,Unspecified,Unspecified,Unspecified,4599983,Bus,Sedan,Unspecified,Unspecified,Unspecified,17,1,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
22,01/19/2023,BROOKLYN,11239,40.644,-73.87584,BELT PARKWAY,,,1,0,0,0,0,0,1,0,FOLLOWING TOO CLOSELY,Unspecified,Unspecified,Unspecified,Unspecified,4599966,Sedan,Sedan,Unspecified,Unspecified,Unspecified,17,1,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
23,01/20/2023,BROOKLYN,11239,40.651974,-73.86542,BELT PARKWAY,,,0,0,0,0,0,0,0,0,FOLLOWING TOO CLOSELY,Following Too Closely,Unspecified,Unspecified,Unspecified,4599291,Sedan,Sedan,Sedan,Unspecified,Unspecified,12,0,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
24,01/21/2023,BROOKLYN,11239,40.651974,-73.86542,BELT PARKWAY,,,2,0,0,0,0,0,2,0,UNSPECIFIED,Unspecified,Unspecified,Unspecified,Unspecified,4599958,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,Unspecified,5,1,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
25,01/21/2023,BROOKLYN,11239,40.657955,-73.859985,,,579       GATEWAY DRIVE,0,0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,Unspecified,Unspecified,Unspecified,Unspecified,4600010,Sedan,Unspecified,Unspecified,Unspecified,Unspecified,6,0,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
26,01/23/2023,BROOKLYN,11239,40.657516,-73.8931,LINDEN BOULEVARD,ALABAMA AVENUE,,3,0,0,0,0,0,3,0,UNSPECIFIED,Unspecified,Unspecified,Unspecified,Unspecified,4601062,Station Wagon/Sport Utility Vehicle,Box Truck,Unspecified,Unspecified,Unspecified,23,1,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
27,01/24/2023,BROOKLYN,11239,40.65289,-73.866745,ERSKINE STREET,GATEWAY DRIVE,,0,0,0,0,0,0,0,0,PASSING OR LANE USAGE IMPROPER,Unspecified,Unspecified,Unspecified,Unspecified,4601083,Station Wagon/Sport Utility Vehicle,Sedan,Unspecified,Unspecified,Unspecified,19,0,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
28,01/24/2023,BROOKLYN,11239,40.655785,-73.87312,,,524       VANDALIA AVENUE,0,0,0,0,0,0,0,0,BACKING UNSAFELY,Unspecified,Unspecified,Unspecified,Unspecified,4601065,Station Wagon/Sport Utility Vehicle,Sedan,Unspecified,Unspecified,Unspecified,19,0,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
29,01/28/2023,BROOKLYN,11239,40.65256,-73.876686,,,550       GATEWAY DRIVE,0,0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,Unspecified,Unspecified,Unspecified,Unspecified,4601453,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,15,0,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
30,01/28/2023,BROOKLYN,11239,40.651974,-73.86542,BELT PARKWAY,,,0,0,0,0,0,0,0,0,UNSAFE LANE CHANGING,Unspecified,Unspecified,Unspecified,Unspecified,4601460,Sedan,Sedan,Unspecified,Unspecified,Unspecified,2,0,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
31,01/29/2023,BROOKLYN,11239,40.64254,-73.87652,BELT PARKWAY,,,1,0,0,0,0,0,1,0,DRIVER INATTENTION/DISTRACTION,Unspecified,Unspecified,Unspecified,Unspecified,4601187,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,1,1,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
32,01/30/2023,BROOKLYN,11239,40.65545,-73.863335,,,501       GATEWAY DRIVE,0,0,0,0,0,0,0,0,BACKING UNSAFELY,Unspecified,Unspecified,Unspecified,Unspecified,4602054,Sedan,Sedan,Unspecified,Unspecified,Unspecified,19,0,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
33,01/30/2023,BROOKLYN,11239,40.649956,-73.884125,PENNSYLVANIA AVENUE,CROTON LOOP,,1,0,1,0,0,0,0,0,FAILURE TO YIELD RIGHT-OF-WAY,Unspecified,Unspecified,Unspecified,Unspecified,4602056,Sedan,Unspecified,Unspecified,Unspecified,Unspecified,18,1,0.57,0.01,6335.0,6280.0,354600.0,13393.0,26275.0,Kings County,23470.0
34,01/02/2023,QUEENS,11369,40.756897,-73.893196,32 AVENUE,,,0,0,0,0,0,0,0,0,ALCOHOL INVOLVEMENT,Unspecified,Unspecified,Unspecified,Unspecified,4594577,Sedan,Sedan,Unspecified,Unspecified,Unspecified,2,0,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
35,01/03/2023,QUEENS,11369,40.76536,-73.882416,87 STREET,24 AVENUE,,0,0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,Unspecified,Unspecified,Unspecified,Unspecified,4595557,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,Unspecified,2,0,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
36,01/03/2023,QUEENS,11369,40.759525,-73.883255,31 AVENUE,,,0,0,0,0,0,0,0,0,UNSPECIFIED,Unspecified,Unspecified,Unspecified,Unspecified,4595543,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,Unspecified,17,0,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
37,01/03/2023,QUEENS,11369,40.761703,-73.88175,30 AVENUE,87 STREET,,1,0,0,0,0,0,1,0,UNSAFE SPEED,Unspecified,Unspecified,Unspecified,Unspecified,4597283,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Box Truck,Station Wagon/Sport Utility Vehicle,Unspecified,21,1,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
38,01/04/2023,QUEENS,11369,40.762985,-73.87057,,,25-30     99 STREET,0,0,0,0,0,0,0,0,PASSING OR LANE USAGE IMPROPER,Unspecified,Unspecified,Unspecified,Unspecified,4595559,Sedan,Unspecified,Unspecified,Unspecified,Unspecified,8,0,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
39,01/06/2023,QUEENS,11369,40.757156,-73.88,,,32-52     88 STREET,0,0,0,0,0,0,0,0,UNSPECIFIED,Unspecified,Unspecified,Unspecified,Unspecified,4595966,Sedan,Unspecified,Unspecified,Unspecified,Unspecified,8,0,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
40,01/08/2023,QUEENS,11369,40.76121,-73.86723,102 STREET,31 AVENUE,,1,0,0,0,0,0,1,0,UNSPECIFIED,Unspecified,Unspecified,Unspecified,Unspecified,4596509,Sedan,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,5,1,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
41,01/10/2023,QUEENS,11369,40.759182,-73.86883,32 AVENUE,100 STREET,,0,0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,Unspecified,Unspecified,Unspecified,Unspecified,4596787,Sedan,Sedan,Unspecified,Unspecified,Unspecified,8,0,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
42,01/10/2023,QUEENS,11369,40.761097,-73.87412,,,94-20     30 AVENUE,0,0,0,0,0,0,0,0,UNSPECIFIED,Unspecified,Unspecified,Unspecified,Unspecified,4597628,Sedan,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,20,0,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
43,01/10/2023,QUEENS,11369,40.760624,-73.86712,,,31-25     102 STREET,0,0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,Unspecified,Unspecified,Unspecified,Unspecified,4597623,Sedan,Sedan,Unspecified,Unspecified,Unspecified,14,0,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
44,01/12/2023,QUEENS,11369,40.76301,-73.87533,ASTORIA BOULEVARD,94 STREET,,1,0,0,0,0,0,1,0,FOLLOWING TOO CLOSELY,Reaction to Uninvolved Vehicle,Unspecified,Unspecified,Unspecified,4598481,Van,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,8,1,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
45,01/15/2023,QUEENS,11369,40.759922,-73.859276,ASTORIA BOULEVARD,111 STREET,,1,0,0,0,0,0,1,0,DRIVER INATTENTION/DISTRACTION,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,4598480,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,16,1,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
46,01/15/2023,QUEENS,11369,40.76752,-73.87806,,,23-05     92 STREET,0,0,0,0,0,0,0,0,UNSPECIFIED,Unspecified,Unspecified,Unspecified,Unspecified,4599062,Sedan,Unspecified,Unspecified,Unspecified,Unspecified,14,0,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
47,01/17/2023,QUEENS,11369,40.762726,-73.87719,,,26-33     92 STREET,0,0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,Unspecified,Unspecified,Unspecified,Unspecified,4599402,Sedan,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,18,0,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
48,01/18/2023,QUEENS,11369,40.76129,-73.878845,,,30-28     90 STREET,0,0,0,0,0,0,0,0,UNSPECIFIED,Unspecified,Unspecified,Unspecified,Unspecified,4599397,Sedan,Unspecified,Unspecified,Unspecified,Unspecified,14,0,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
49,01/18/2023,QUEENS,11369,40.759922,-73.859276,111 STREET,ASTORIA BOULEVARD,,0,0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,Unspecified,Unspecified,Unspecified,Unspecified,4601360,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,Unspecified,21,0,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
50,01/19/2023,QUEENS,11369,40.763344,-73.87731,ASTORIA BOULEVARD,92 STREET,,1,0,0,0,0,0,1,0,DRIVER INATTENTION/DISTRACTION,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,4599406,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,18,1,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
51,01/20/2023,QUEENS,11369,40.763344,-73.87731,92 STREET,ASTORIA BOULEVARD,,1,0,0,0,0,0,1,0,TURNING IMPROPERLY,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,4599401,Sedan,Sedan,Unspecified,Unspecified,Unspecified,11,1,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
52,01/20/2023,QUEENS,11369,40.760307,-73.87582,93 STREET,31 AVENUE,,1,0,0,0,1,0,0,0,DRIVER INATTENTION/DISTRACTION,Unspecified,Unspecified,Unspecified,Unspecified,4599405,Station Wagon/Sport Utility Vehicle,E-Bike,Unspecified,Unspecified,Unspecified,17,1,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
53,01/21/2023,QUEENS,11369,40.759182,-73.86883,100 STREET,32 AVENUE,,1,0,0,0,1,0,0,0,DRIVER INATTENTION/DISTRACTION,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,4600582,E-Bike,Sedan,Unspecified,Unspecified,Unspecified,1,1,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
54,01/22/2023,QUEENS,11369,40.763344,-73.87731,ASTORIA BOULEVARD,92 STREET,,1,0,0,0,0,0,0,0,PASSING TOO CLOSELY,Unspecified,Unspecified,Unspecified,Unspecified,4599892,Sedan,E-Scooter,Unspecified,Unspecified,Unspecified,20,1,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
55,01/22/2023,QUEENS,11369,40.768524,-73.87249,98 STREET,23 AVENUE,,0,0,0,0,0,0,0,0,UNSPECIFIED,Unspecified,Unspecified,Unspecified,Unspecified,4599893,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,Unspecified,10,0,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
56,01/23/2023,QUEENS,11369,40.75898,-73.87075,98 STREET,32 AVENUE,,2,0,0,0,0,0,2,0,BRAKES DEFECTIVE,Unspecified,Unspecified,Unspecified,Unspecified,4600208,Station Wagon/Sport Utility Vehicle,Sedan,Unspecified,Unspecified,Unspecified,22,1,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
57,01/24/2023,QUEENS,11369,40.768684,-73.88017,,,22-40     90 STREET,0,0,0,0,0,0,0,0,FAILURE TO YIELD RIGHT-OF-WAY,Reaction to Uninvolved Vehicle,Unspecified,Unspecified,Unspecified,4600209,Sedan,Sedan,Unspecified,Unspecified,Unspecified,1,0,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
58,01/27/2023,QUEENS,11369,40.755165,-73.8891,78 STREET,,,0,0,0,0,0,0,0,0,BACKING UNSAFELY,Unspecified,Unspecified,Unspecified,Unspecified,4600902,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Unspecified,Unspecified,Unspecified,4,0,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
59,01/27/2023,QUEENS,11369,40.761135,-73.86432,ASTORIA BOULEVARD,105 STREET,,1,0,0,0,0,0,1,0,DRIVER INEXPERIENCE,Unspecified,Unspecified,Unspecified,Unspecified,4601356,Station Wagon/Sport Utility Vehicle,Sedan,Unspecified,Unspecified,Unspecified,22,1,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
60,01/29/2023,QUEENS,11369,40.76217,-73.87041,ASTORIA BOULEVARD,99 STREET,,0,0,0,0,0,0,0,0,TRAFFIC CONTROL DISREGARDED,Unspecified,Unspecified,Unspecified,Unspecified,4601358,Station Wagon/Sport Utility Vehicle,Sedan,Unspecified,Unspecified,Unspecified,1,0,1.07,0.0,12184.0,11194.0,464500.0,38615.0,53617.0,Queens County,36170.0
61,01/02/2023,BROOKLYN,11233,40.68214,-73.91433,BOYLAND STREET,CHAUNCEY STREET,,1,0,0,0,0,0,1,0,UNSPECIFIED,Unspecified,Unspecified,Unspecified,Unspecified,4595016,Sedan,Sedan,Unspecified,Unspecified,Unspecified,2,1,1.35,0.0,29074.0,25693.0,551900.0,67053.0,34492.0,Kings County,49746.0
62,01/02/2023,BROOKLYN,11233,40.668373,-73.92264,EASTERN PARKWAY,,,0,0,0,0,0,0,0,0,UNSPECIFIED,Unspecified,Unspecified,Unspecified,Unspecified,4595394,Sedan,Sedan,Unspecified,Unspecified,Unspecified,6,0,1.35,0.0,29074.0,25693.0,551900.0,67053.0,34492.0,Kings County,49746.0
63,01/02/2023,BROOKLYN,11233,40.67619,-73.9081,EASTERN PARKWAY,ATLANTIC AVENUE,,0,0,0,0,0,0,0,0,UNSPECIFIED,Unspecified,Unspecified,Unspecified,Unspecified,4596981,Sedan,Sedan,Unspecified,Unspecified,Unspecified,13,0,1.35,0.0,29074.0,25693.0,551900.0,67053.0,34492.0,Kings County,49746.0
64,01/03/2023,BROOKLYN,11233,40.682987,-73.92002,HOWARD AVENUE,,,1,0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,4596192,E-Bike,Unspecified,Unspecified,Unspecified,Unspecified,16,1,1.35,0.0,29074.0,25693.0,551900.0,67053.0,34492.0,Kings County,49746.0
65,01/03/2023,BROOKLYN,11233,,,PITKIN AVENUE,HOWARD AVENUE,,0,0,0,0,0,0,0,0,UNSPECIFIED,Unspecified,Unspecified,Unspecified,Unspecified,4596427,Tractor Truck Diesel,Sedan,Unspecified,Unspecified,Unspecified,13,0,1.35,0.0,29074.0,25693.0,551900.0,67053.0,34492.0,Kings County,49746.0
66,01/04/2023,BROOKLYN,11233,40.678726,-73.91906,HOWARD AVENUE,,,1,0,1,0,0,0,0,0,FAILURE TO YIELD RIGHT-OF-WAY,Unspecified,Unspecified,Unspecified,Unspecified,4595422,Taxi,Unspecified,Unspecified,Unspecified,Unspecified,7,1,1.35,0.0,29074.0,25693.0,551900.0,67053.0,34492.0,Kings County,49746.0
67,01/04/2023,BROOKLYN,11233,40.677902,-73.913574,,,195       BOYLAND STREET,0,0,0,0,0,0,0,0,UNSPECIFIED,Unspecified,Unspecified,Unspecified,Unspecified,4596435,Sedan,Unspecified,Unspecified,Unspecified,Unspecified,10,0,1.35,0.0,29074.0,25693.0,551900.0,67053.0,34492.0,Kings County,49746.0
